ES Meter Reading,,,,,
From unit,54778015,8/18/2020 15:37,8/18/2020 15:36,,
Cumulative totals,,,,,
,,,,,
,Value,Unit,,,
,0,Import Wh,PNhan,,
,3.39E+11,Export Wh,Pgiao,,
,0,Q1 varh,,,
,0,Q2 varh,,,
,0,Q3 varh,,,
,0,Q4 varh,,,
,0,VAh,,,
,4550,CD1,QNhan,,
,93509821580,CD2,Qgiao,,
,0,CD3,,,
Rates,,,,,
,,,,,
Register,Value,Unit,,,
1,0,Import Wh,PNhanBT,,
2,0,Import Wh,PNhanCD,,
3,0,Import Wh,PNhanTD,,
4,1.95E+11,Export Wh,PGiaoBT,,
5,64953953720,Export Wh,PGiaoCD,,
6,78892450680,Export Wh,PGiaoTD,,
7,0,no Source,,,
8,0,no Source,,,
9,0,no Source,,,
10,0,no Source,,,
11,0,no Source,,,
12,0,no Source,,,
13,0,no Source,,,
14,0,no Source,,,
15,0,no Source,,,
16,0,no Source,,,
Multi-utility registers,,,,,
,,,,,
,Value,Unit,,,
,0,MU 1,,,
,0,MU 2,,,
,0,MU 3,,,
,0,MU 4,,,
Cummulative Maximum demands,,,,,
,,,,,
Register,Value,Unit,,,
1,0,Import W,,,
2,0,Import W,,,
3,0,Import W,,,
4,0,Import W,,,
5,0,Export W,,,
6,0,Export W,,,
7,0,Export W,,,
8,0,Export W,,,
Instantaneous Value,,,,,
,,,,,
,Phase A,Phase B,Phase C,Total,
,0.68,0.69,0.68,,Amps
,0,0,0,,Volts
,0,0,0,0,Active Power(kW)
,0,0,0,0,Reactive Power(kvar)
,0,0,0,0,Apparent Power(kVA)
,-0.961,-0.958,-0.951,-0.957,Power factor
,50.13,50.13,50.13,,Frequency(Hz)
,0,0,0,,Phase Angle(deg)
,,,,A->B->C,Phase Rotation
